date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:21	57636/57636	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2011:50:39%20GMT	http://www.vitcmun.in/	E:/fullpage/VITCMUN/www.vitcmun.in/index.html	(from )
23:20:22	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2017:50:21%20GMT	http://www.vitcmun.in/robots.txt		(from )
23:20:29	23272/23272	---M-Z	200	added ('OK')	text/css	etag:%22055dc998a93d31:0%22	https://www.w3schools.com/w3css/4/w3.css	E:/fullpage/VITCMUN/www.w3schools.com/w3css/4/w3.css	(from http://www.vitcmun.in/)
23:20:31	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202016%2016:31:35%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	E:/fullpage/VITCMUN/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://www.vitcmun.in/)
23:20:31	773/773	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2014:45:12%20GMT	https://cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	E:/fullpage/VITCMUN/cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	(from http://www.vitcmun.in/)
23:20:33	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	E:/fullpage/VITCMUN/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://www.vitcmun.in/)
23:20:33	2411/2411	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:03%20GMT	http://www.vitcmun.in/apple-icon-72x72.png	E:/fullpage/VITCMUN/www.vitcmun.in/apple-icon-72x72.png	(from http://www.vitcmun.in/)
23:20:33	2453/2453	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:03%20GMT	http://www.vitcmun.in/apple-icon-76x76.png	E:/fullpage/VITCMUN/www.vitcmun.in/apple-icon-76x76.png	(from http://www.vitcmun.in/)
23:20:33	3436/3436	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:04%20GMT	http://www.vitcmun.in/apple-icon-114x114.png	E:/fullpage/VITCMUN/www.vitcmun.in/apple-icon-114x114.png	(from http://www.vitcmun.in/)
23:20:33	3614/3614	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:05%20GMT	http://www.vitcmun.in/apple-icon-120x120.png	E:/fullpage/VITCMUN/www.vitcmun.in/apple-icon-120x120.png	(from http://www.vitcmun.in/)
23:20:34	4421/4421	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:05%20GMT	http://www.vitcmun.in/apple-icon-144x144.png	E:/fullpage/VITCMUN/www.vitcmun.in/apple-icon-144x144.png	(from http://www.vitcmun.in/)
23:20:34	4673/4673	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:06%20GMT	http://www.vitcmun.in/apple-icon-152x152.png	E:/fullpage/VITCMUN/www.vitcmun.in/apple-icon-152x152.png	(from http://www.vitcmun.in/)
23:20:34	5831/5831	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:07%20GMT	http://www.vitcmun.in/apple-icon-180x180.png	E:/fullpage/VITCMUN/www.vitcmun.in/apple-icon-180x180.png	(from http://www.vitcmun.in/)
23:20:34	5158/5158	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:00%20GMT	http://www.vitcmun.in/android-icon-192x192.png	E:/fullpage/VITCMUN/www.vitcmun.in/android-icon-192x192.png	(from http://www.vitcmun.in/)
23:20:34	215/215	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2017:50:34%20GMT	http://www.vitcmun.in/favicon-32x32.png	E:/fullpage/VITCMUN/www.vitcmun.in/favicon-32x32.png	(from http://www.vitcmun.in/)
23:20:35	215/215	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2017:50:34%20GMT	http://www.vitcmun.in/favicon-96x96.png	E:/fullpage/VITCMUN/www.vitcmun.in/favicon-96x96.png	(from http://www.vitcmun.in/)
23:20:35	1037/1037	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:10%20GMT	http://www.vitcmun.in/favicon-16x16.png	E:/fullpage/VITCMUN/www.vitcmun.in/favicon-16x16.png	(from http://www.vitcmun.in/)
23:20:35	211/211	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2017:50:35%20GMT	http://www.vitcmun.in/manifest.json	E:/fullpage/VITCMUN/www.vitcmun.in/manifest.json	(from http://www.vitcmun.in/)
23:20:35	217/217	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2017:50:35%20GMT	http://www.vitcmun.in/ms-icon-144x144.png	E:/fullpage/VITCMUN/www.vitcmun.in/ms-icon-144x144.png	(from http://www.vitcmun.in/)
